file,spearman_r,spearman_p
003484.npy,0.40523712067604056,0.0
003497.npy,0.1863433179021192,0.0
003818.npy,0.17710894943128688,0.0
003871.npy,0.3050543700820179,0.0
003973.npy,0.23242849656449815,0.0
004003.npy,0.3055766113569857,0.0
004012.npy,0.2749024056593463,0.0
004147.npy,0.16845313210770677,0.0
004148.npy,0.16696386872335067,0.0
004183.npy,0.3661286150068234,0.0
004276.npy,0.22345729380622237,0.0
004281.npy,0.1501197621553101,0.0
004460.npy,0.16345064976895662,0.0
004656.npy,0.31542694318983805,0.0
004657.npy,0.18776668549833334,0.0
